name,price,stock,category
rice,50.0,10,Staples
wheat,40.0,10,Staples
flour,30.0,9,Staples
oil,100.0,9,Oils
daal,60.0,10,Staples
soap,20.0,10,Cleaning
surf,25.0,10,Cleaning
sugar,45.0,15,Staples
salt,10.0,20,Staples
tea,120.0,12,Beverages
coffee,200.0,8,Beverages
milk,55.0,10,Dairy
butter,90.0,8,Dairy
ghee,550.0,6,Oils
mustard_oil,130.0,10,Oils
turmeric,30.0,15,Spices
chilli_powder,25.0,15,Spices
coriander,20.0,15,Spices
cumin,35.0,12,Spices
garam_masala,50.0,10,Spices
biscuits,40.0,20,Snacks
chips,30.0,18,Snacks
noodles,15.0,25,Snacks
pasta,60.0,12,Staples
moong_daal,70.0,10,Pulses
chana,55.0,10,Pulses
rajma,80.0,8,Pulses
poha,40.0,10,Staples
semolina,35.0,10,Staples
